Person ID,Activity Type,Start Time,End Time,Duration (minutes),Date
154,Shopping,10:15,11:23,68,2023-03-14
361,Working,15:29,20:08,279,2023-05-30
390,Socializing,18:51,20:20,89,2023-03-27
259,Relaxing,23:32,00:08,36,2023-05-06
244,Relaxing,02:28,03:47,79,2023-02-13
157,Exercising,10:40,11:52,72,2023-01-23
114,Working,07:07,15:56,529,2023-01-06
184,Sleeping,12:01,19:00,419,2023-01-25
335,Working,02:47,10:49,482,2023-05-09
168,Eating,06:04,07:09,65,2023-05-14
325,Shopping,08:08,09:11,63,2023-04-02
143,Working,01:52,08:43,411,2023-02-28
342,Relaxing,09:30,10:51,81,2023-04-17
125,Eating,18:05,18:51,46,2023-05-04
107,Relaxing,10:49,11:15,26,2023-04-15
39,Cleaning,14:28,15:07,39,2023-03-02
224,Working,08:13,13:14,301,2023-02-04
292,Cooking,21:51,23:21,90,2023-05-04
172,Eating,16:20,17:15,55,2023-03-29
48,Eating,14:03,15:11,68,2023-02-02
216,Working,23:08,05:33,385,2023-06-07
330,Cleaning,04:26,05:32,66,2023-02-14
120,Socializing,09:48,11:43,115,2023-04-24
213,Shopping,00:55,01:43,48,2023-03-24
453,Shopping,03:33,05:31,118,2023-06-30
221,Working,05:35,12:13,398,2023-04-27
47,Eating,05:27,06:38,71,2023-01-07
298,Relaxing,21:28,21:53,25,2023-06-17
331,Eating,18:10,19:05,55,2023-02-01
351,Relaxing,18:52,20:25,93,2023-06-08
26,Relaxing,09:08,10:24,76,2023-06-23
94,Working,13:04,17:51,287,2023-01-09
217,Sleeping,06:39,14:14,455,2023-02-24
59,Cooking,07:08,08:42,94,2023-03-06
93,Walking,04:55,06:07,72,2023-02-12
441,Walking,11:19,12:21,62,2023-06-08
410,Socializing,01:12,02:00,48,2023-06-21
119,Exercising,05:46,06:36,50,2023-03-27
201,Cleaning,05:58,06:47,49,2023-05-03
165,Cooking,20:28,21:12,44,2023-06-08
462,Shopping,17:12,18:44,92,2023-02-17
304,Socializing,15:08,16:34,86,2023-04-23
27,Relaxing,23:22,23:55,33,2023-04-17
182,Eating,21:38,23:03,85,2023-06-28
426,Shopping,11:46,12:07,21,2023-06-24
195,Cleaning,08:52,10:02,70,2023-06-27
243,Sleeping,11:18,18:43,445,2023-05-30
491,Cooking,20:16,20:38,22,2023-02-11
467,Exercising,22:36,23:19,43,2023-04-09
333,Cooking,06:47,07:43,56,2023-06-26
337,Cleaning,12:48,14:25,97,2023-02-21
351,Shopping,00:02,01:34,92,2023-06-14
90,Shopping,13:03,13:54,51,2023-02-09
184,Shopping,17:59,18:40,41,2023-03-14
292,Cleaning,18:43,20:39,116,2023-02-20
212,Eating,07:28,08:00,32,2023-06-01
450,Socializing,05:09,06:12,63,2023-04-08
328,Working,01:28,08:25,417,2023-06-17
443,Socializing,07:56,08:35,39,2023-03-13
131,Cooking,17:09,17:30,21,2023-04-13
481,Eating,04:24,05:00,36,2023-01-02
304,Socializing,23:05,00:12,67,2023-03-20
378,Exercising,15:51,16:30,39,2023-06-02
314,Walking,21:22,22:21,59,2023-06-05
329,Sleeping,13:46,20:04,378,2023-01-02
183,Exercising,08:14,09:05,51,2023-05-30
264,Working,13:01,20:33,452,2023-03-31
95,Exercising,12:23,13:26,63,2023-01-05
467,Shopping,03:30,04:42,72,2023-05-22
415,Sleeping,00:25,08:13,468,2023-03-19
465,Exercising,23:10,23:46,36,2023-05-26
59,Walking,12:32,13:14,42,2023-05-14
188,Working,05:36,09:48,252,2023-04-21
433,Working,16:21,20:22,241,2023-05-30
281,Shopping,18:18,19:44,86,2023-01-15
232,Walking,05:14,05:48,34,2023-01-01
102,Sleeping,09:47,18:12,505,2023-05-04
37,Cleaning,21:13,22:49,96,2023-01-27
427,Working,13:05,21:56,531,2023-06-29
246,Cleaning,00:24,01:46,82,2023-06-09
325,Relaxing,18:39,19:17,38,2023-05-09
379,Shopping,10:44,12:29,105,2023-03-20
18,Cleaning,10:28,11:43,75,2023-03-08
254,Shopping,23:55,01:29,94,2023-01-11
395,Eating,09:42,10:15,33,2023-05-10
292,Walking,04:08,04:39,31,2023-06-05
486,Shopping,14:19,15:07,48,2023-02-16
218,Working,21:39,04:47,428,2023-04-14
341,Sleeping,01:25,09:28,483,2023-04-02
382,Exercising,23:55,01:24,89,2023-01-24
89,Working,05:11,11:38,387,2023-05-17
463,Working,06:33,13:36,423,2023-06-24
429,Eating,23:52,01:13,81,2023-03-05
118,Socializing,07:30,09:04,94,2023-04-11
276,Exercising,07:20,08:35,75,2023-06-07
194,Sleeping,08:20,15:55,455,2023-05-18
134,Eating,01:22,01:57,35,2023-04-12
444,Walking,05:46,07:05,79,2023-01-06
285,Exercising,17:44,18:32,48,2023-02-15
137,Sleeping,17:45,03:38,593,2023-01-25
443,Sleeping,18:16,00:32,376,2023-06-28
155,Walking,15:24,16:53,89,2023-01-30
8,Cooking,01:13,01:35,22,2023-01-22
368,Walking,18:12,18:55,43,2023-01-29
338,Cooking,22:15,23:00,45,2023-04-09
275,Relaxing,14:27,15:10,43,2023-04-17
276,Shopping,21:58,23:00,62,2023-04-04
166,Eating,02:34,03:26,52,2023-06-13
412,Eating,10:48,11:58,70,2023-04-16
54,Relaxing,10:09,11:17,68,2023-05-23
36,Sleeping,09:13,17:54,521,2023-06-08
215,Shopping,15:41,16:27,46,2023-03-22
286,Eating,01:47,02:37,50,2023-03-22
231,Working,17:44,01:30,466,2023-06-18
228,Exercising,13:01,14:16,75,2023-05-23
363,Cleaning,10:02,11:58,116,2023-04-18
39,Socializing,03:10,03:33,23,2023-06-01
399,Relaxing,12:47,14:18,91,2023-02-24
133,Socializing,07:56,08:47,51,2023-06-18
55,Shopping,23:07,23:31,24,2023-02-24
249,Cooking,05:53,06:51,58,2023-01-06
164,Walking,05:44,06:15,31,2023-04-09
51,Socializing,10:27,10:58,31,2023-05-09
292,Cleaning,20:54,22:29,95,2023-06-12
422,Working,22:36,04:29,353,2023-06-08
30,Working,00:29,07:03,394,2023-03-19
445,Walking,17:06,17:47,41,2023-03-01
339,Sleeping,07:22,17:21,599,2023-03-22
301,Relaxing,13:36,15:36,120,2023-03-10
371,Relaxing,15:43,16:40,57,2023-06-28
405,Sleeping,12:15,18:20,365,2023-04-29
174,Socializing,00:08,01:53,105,2023-03-26
314,Relaxing,01:19,03:01,102,2023-04-17
446,Working,21:29,04:35,426,2023-02-02
144,Working,17:14,22:45,331,2023-04-20
370,Eating,08:02,08:56,54,2023-04-22
458,Working,05:47,14:04,497,2023-05-03
468,Cleaning,11:14,12:06,52,2023-01-02
327,Cooking,01:50,02:48,58,2023-04-07
478,Walking,01:35,02:12,37,2023-06-02
3,Exercising,14:52,15:49,57,2023-06-02
343,Sleeping,16:23,22:33,370,2023-06-13
262,Sleeping,05:48,13:08,440,2023-01-06
20,Shopping,23:26,00:37,71,2023-02-07
